experiment,collection_window,metric,scope,sample_index,value,unit
correlation-fio-randwrite-cores1,pcm_cha,drd_occ_agg,SKT0C0,2,189227.0,occupancy_cycles
correlation-fio-randwrite-cores1,pcm_cha,drd_occ_agg,SKT0C0,3,188698.0,occupancy_cycles
correlation-fio-randwrite-cores1,pcm_cha,drd_occ_agg,SKT0C1,0,639521.0,occupancy_cycles
correlation-fio-randwrite-cores1,pcm_cha,drd_occ_agg,SKT0C1,1,221156.0,occupancy_cycles
correlation-fio-randwrite-cores1,pcm_cha,drd_occ_agg,SKT0C1,2,185991.0,occupancy_cycles
correlation-fio-randwrite-cores1,pcm_cha,drd_occ_agg,SKT0C1,3,184407.0,occupancy_cycles
correlation-fio-randwrite-cores1,pcm_cha,drd_occ_agg,SKT0C2,0,618596.0,occupancy_cycles
correlation-fio-randwrite-cores1,pcm_cha,drd_occ_agg,SKT0C2,1,217602.0,occupancy_cycles
correlation-fio-randwrite-cores1,pcm_cha,drd_occ_agg,SKT0C2,2,178160.0,occupancy_cycles
correlation-fio-randwrite-cores1,pcm_cha,drd_occ_agg,SKT0C2,3,183782.0,occupancy_cycles
correlation-fio-randwrite-cores1,pcm_cha,drd_occ_agg,SKT0C3,0,656359.0,occupancy_cycles
correlation-fio-randwrite-cores1,pcm_cha,drd_occ_agg,SKT0C3,1,226419.0,occupancy_cycles
correlation-fio-randwrite-cores1,pcm_cha,drd_occ_agg,SKT0C3,2,188383.0,occupancy_cycles
correlation-fio-randwrite-cores1,pcm_cha,drd_occ_agg,SKT0C3,3,189981.0,occupancy_cycles
correlation-fio-randwrite-cores1,pcm_cha,drd_occ_agg,SKT0C4,0,486750.0,occupancy_cycles
correlation-fio-randwrite-cores1,pcm_cha,drd_occ_agg,SKT0C4,1,171189.0,occupancy_cycles
correlation-fio-randwrite-cores1,pcm_cha,drd_occ_agg,SKT0C4,2,143607.0,occupancy_cycles
correlation-fio-randwrite-cores1,pcm_cha,drd_occ_agg,SKT0C4,3,144245.0,occupancy_cycles
correlation-fio-randwrite-cores1,pcm_cha,drd_occ_agg,SKT0C5,0,544848.0,occupancy_cycles
correlation-fio-randwrite-cores1,pcm_cha,drd_occ_agg,SKT0C5,1,201602.0,occupancy_cycles
correlation-fio-randwrite-cores1,pcm_cha,drd_occ_agg,SKT0C5,2,168329.0,occupancy_cycles
correlation-fio-randwrite-cores1,pcm_cha,drd_occ_agg,SKT0C5,3,171215.0,occupancy_cycles
correlation-fio-randwrite-cores1,pcm_cha,drd_occ_agg,SKT0C6,0,660435.0,occupancy_cycles
correlation-fio-randwrite-cores1,pcm_cha,drd_occ_agg,SKT0C6,1,233771.0,occupancy_cycles
correlation-fio-randwrite-cores1,pcm_cha,drd_occ_agg,SKT0C6,2,198270.0,occupancy_cycles
correlation-fio-randwrite-cores1,pcm_cha,drd_occ_agg,SKT0C6,3,200709.0,occupancy_cycles
correlation-fio-randwrite-cores1,pcm_cha,drd_occ_agg,SKT0C7,0,616296.0,occupancy_cycles
correlation-fio-randwrite-cores1,pcm_cha,drd_occ_agg,SKT0C7,1,219619.0,occupancy_cycles
correlation-fio-randwrite-cores1,pcm_cha,drd_occ_agg,SKT0C7,2,180090.0,occupancy_cycles
correlation-fio-randwrite-cores1,pcm_cha,drd_occ_agg,SKT0C7,3,189457.0,occupancy_cycles
correlation-fio-randwrite-cores1,pcm_cha,drd_occ_agg,SKT0C8,0,619313.0,occupancy_cycles
correlation-fio-randwrite-cores1,pcm_cha,drd_occ_agg,SKT0C8,1,221406.0,occupancy_cycles
correlation-fio-randwrite-cores1,pcm_cha,drd_occ_agg,SKT0C8,2,187513.0,occupancy_cycles
correlation-fio-randwrite-cores1,pcm_cha,drd_occ_agg,SKT0C8,3,185817.0,occupancy_cycles
correlation-fio-randwrite-cores1,pcm_cha,drd_occ_agg,SKT0C9,0,654481.0,occupancy_cycles
correlation-fio-randwrite-cores1,pcm_cha,drd_occ_agg,SKT0C9,1,237083.0,occupancy_cycles
correlation-fio-randwrite-cores1,pcm_cha,drd_occ_agg,SKT0C9,2,205673.0,occupancy_cycles
correlation-fio-randwrite-cores1,pcm_cha,drd_occ_agg,SKT0C9,3,198515.0,occupancy_cycles
correlation-fio-randwrite-cores1,pcm_cha,drd_occ_agg,SKT0C10,0,597127.0,occupancy_cycles
correlation-fio-randwrite-cores1,pcm_cha,drd_occ_agg,SKT0C10,1,217497.0,occupancy_cycles
correlation-fio-randwrite-cores1,pcm_cha,drd_occ_agg,SKT0C10,2,187098.0,occupancy_cycles
